lat,lon,category
25.05013001,121.58132,manufacture
25.05013999,121.54378,finance
25.05043,121.5577,manufacture
25.05044002,121.51008,finance
25.05049999,121.29107,manufacture
25.05062492,121.5069955,manufacture
25.05069998,121.51347,manufacture
25.05072999,121.53617,manufacture
25.05079,121.54855,manufacture
25.05082001,121.51769,manufacture
25.05123999,121.56214,finance
25.05131999,121.52995,manufacture
25.05133001,121.54848,finance
25.05136228,121.5492369,manufacture
25.05164001,121.54458,health
25.05164001,121.54458,manufacture
25.05196678,121.5103769,manufacture
25.05235846,121.5227328,pharma
25.05256001,121.54476,manufacture
25.05259002,121.48628,pharma
25.05263,121.50848,manufacture
25.05263,121.50848,manufacture
25.05284001,121.54428,manufacture
25.05287002,121.51872,manufacture
25.05292001,121.51976,manufacture
25.05300999,121.50853,manufacture
25.05300999,121.50853,manufacture
25.05310999,121.51021,manufacture
25.05315999,121.52147,manufacture
25.05320999,121.50969,manufacture
25.05330001,121.47347,manufacture
25.05330998,121.52283,manufacture
25.05333001,121.54844,finance
25.05333001,121.54844,manufacture
25.05371998,121.50884,manufacture
25.05383,121.50863,manufacture
25.05383,121.50863,manufacture
25.05389001,121.54431,pharma
25.05396,121.50865,manufacture
25.05405002,121.5151,finance
25.05415002,121.53328,manufacture
25.054485,121.2841277,manufacture
25.05474002,121.54432,manufacture
25.05474002,121.54432,manufacture
25.05483,121.525,manufacture
25.05497002,121.53286,manufacture
25.05507999,121.53329,manufacture
25.05510956,121.6144452,pharma
25.05537,121.59104,manufacture
25.05537,121.53287,manufacture
25.05537,121.53287,manufacture
25.05576999,121.5101,manufacture
25.05576999,121.5101,manufacture
25.05586001,121.53028,manufacture
25.05602999,121.61387,pharma
25.05607999,121.52296,manufacture
25.05609998,121.50886,manufacture
25.05640999,121.54635,manufacture
25.05640999,121.54635,manufacture
25.05645999,121.53332,manufacture
25.05662,121.54942,manufacture
25.05673973,121.5548112,manufacture
25.05681999,121.52258,manufacture
25.05688,121.5126,manufacture
25.05689002,121.51469,finance
25.05693025,121.5487228,finance
25.05694002,121.54534,manufacture
25.057046,121.632503,manufacture
25.05706,121.513,manufacture
25.05711,121.6143,health
25.05711,121.6143,health
25.05744,121.54657,finance
25.05750001,121.54951,manufacture
25.05767,121.51981,manufacture
25.05768999,121.52221,health
25.05768999,121.57756,manufacture
25.0577,121.53569,manufacture
25.05771999,121.52539,manufacture
25.05783001,121.60571,health
25.05793,121.2943,manufacture
25.05794002,121.5479,manufacture
25.05794002,121.54767,finance
25.05794002,121.54767,finance
25.05794999,121.58668,health
25.05794999,121.58668,pharma
25.05799002,121.54845,manufacture
25.05801998,121.54948,finance
25.05806998,121.54032,pharma
25.05806998,121.54518,finance
25.05806998,121.54518,manufacture
25.05808,121.53239,manufacture
25.05814999,121.53455,manufacture
25.05842998,121.57395,manufacture
25.05868002,121.10528,manufacture
25.05872,121.53292,finance
25.05885,121.57458,health
25.05886,121.61233,health
25.05886002,121.61233,pharma
25.05886002,121.61233,pharma
25.05886002,121.61233,pharma
25.05886002,121.61233,health
25.05886002,121.61233,pharma
25.05886002,121.61233,pharma
25.05886002,121.61233,pharma
25.05886002,121.61233,health
25.05886002,121.61233,health
25.05886002,121.61233,health
25.05886002,121.61233,health
25.05886002,121.61233,health
25.05891999,121.61618,finance
25.05908584,121.5593,pharma
25.05908584,121.5593,manufacture
25.05908584,121.5593,manufacture
25.05952998,121.57953,manufacture
25.05970998,121.53337,finance
